Mood,track_acousticness,track_danceability,track_energy,track_instrumentalness,track_liveness,track_speechiness,track_tempo,track_valence
Sober,0.579008979,0.13130147,0.393253398,0.591751599,0.06802961,0.030489208,0.352138785,0.114590542
Sober,0.528255039,0.438151243,0.146403261,0.593627607,0.058914276,0.026122446,0.28793736,0.260923848
Sober,0.66471748,0.398868678,0.100981856,0.394324984,0.079161143,0.054832246,0.335206508,0.33425807
Cheerful Vocals,0.649423347,0.345818064,0.310151722,0.011109645,0.196534866,0.07167245,0.234525526,0.51339707
Cheerful Vocals,0.790465493,0.369358938,0.0350154,0.191083307,0.082688499,0.031946573,0.358795335,0.253785947
Sober,0.676142466,0.308938909,0.067145473,0.3934021,0.079510908,0.044112036,0.326533823,0.416199708
Sober,0.578920218,0.367298917,0.086287026,0.557185101,0.066660172,0.025438586,0.345926343,0.295442827
Sober,0.679114951,0.325775465,0.09379459,0.477883974,0.073229291,0.050814042,0.313014277,0.299299482
Exciting,0.026877292,0.186291914,0.130227745,0.430124155,0.184263108,0.053256327,0.794954675,0.306373651
Cheerful Vocals,0.5909776,0.492249824,0.195642609,8.68E-06,0.140382786,0.120793674,0.507884348,0.279131882
Sober,0.611614026,0.335736593,0.207041805,0.543386026,0.074663601,0.145386642,0.302805101,0.23805815
Sober,0.626204746,0.22894829,0.13909781,0.622905243,0.074836974,0.119520924,0.197812613,0.298455189
Sober,0.556726722,0.429523536,0.038156603,0.55568207,0.065330742,0.034155682,0.259910411,0.349768869
Cheerful Instrumental,0.397528557,0.391931483,0.188480987,0.518545381,0.065840824,0.223518753,0.276519097,0.503177807
Angry,0.002842287,0.415347768,0.270215704,0.754692911,0.062446713,0.0439337,0.421592187,0.036476048
Cheerful Instrumental,0.605716784,0.283950358,0.222546019,0.562474626,0.072673785,0.023026193,0.22343266,0.36171964
Sober,0.482354607,0.464913474,0.050184972,0.520938981,0.061165413,0.234238809,0.269785853,0.381968725
Sober,0.631504696,0.337955625,0.126395459,0.605499316,0.085234596,0.016365091,0.130147351,0.282686213
Cheerful Vocals,0.618295102,0.494028434,0.071035117,0.244503398,0.070791193,0.049107754,0.3012064,0.458989013
Sober,0.522961783,0.372522089,0.154571227,0.674235478,0.073552941,0.031701595,0.316535747,0.051406386
Sober,0.643516538,0.22306146,0.083100284,0.561839388,0.070385501,0.025641888,0.182457707,0.417921589
Exciting,0.236239407,0.48807371,0.141221701,0.64740675,0.290854052,0.120040663,0.34227717,0.225247475
Sober,0.623223828,0.380680415,0.023466994,0.60168295,0.072162439,0.08517179,0.142034646,0.2673311
Sober,0.69820101,0.201648738,0.10472024,0.614983934,0.074232094,0.028610802,0.221970391,0.164565282
Cheerful Vocals,0.539723825,0.372966437,0.289379519,0.03075388,0.187480704,0.062582609,0.361669546,0.561281983
Cheerful Vocals,0.660463076,0.48936512,0.071892257,0.006918532,0.068869053,0.131784212,0.347642805,0.419676538
Cheerful Vocals,0.728365123,0.452549317,0.115275267,0.077201657,0.079224635,0.146608688,0.300287277,0.357059913
Cheerful Instrumental,0.592719044,0.216010044,0.275282358,0.560276873,0.200065284,0.016550301,0.147038832,0.387830887
Sober,0.562574911,0.264214059,0.107210848,0.577845977,0.08376614,0.030688229,0.488274443,0.148087125
Sober,0.552485471,0.163894541,0.166793547,0.581332423,0.087742124,0.060900257,0.423208805,0.334092346
Sober,0.608331299,0.298760969,0.111179302,0.516173782,0.097160348,0.046020772,0.495013869,0.072676872
Sober,0.486419515,0.496783694,0.107287814,0.636585038,0.075694372,0.152624731,0.229945707,0.133984539
Sober,0.494871769,0.325295999,0.117609422,0.627003891,0.075756995,0.032607872,0.338270763,0.34797857
Cheerful Instrumental,0.321568833,0.40567612,0.506700907,0.590829596,0.080324018,0.026344111,0.238602002,0.249234979
Angry,0.287377735,0.385617541,0.515602604,0.58903228,0.093638365,0.031540534,0.326664575,0.198583443
Cheerful Instrumental,0.362480058,0.385181218,0.431339183,0.57458726,0.085929851,0.04301011,0.406121534,0.17283263
Angry,0.000577158,0.17458075,0.12552228,0.757285563,0.513814306,0.176341001,0.288279136,0.045583032
Angry,0.036878136,0.092469229,0.619342785,0.58590375,0.426481687,0.055477622,0.254765363,0.115546395
Sober,0.574861478,0.098160395,0.427143929,0.591345831,0.262761945,0.06242231,0.233134654,0.021560092
Sober,0.558531923,0.196510753,0.149534917,0.682969799,0.311909673,0.049978056,0.232066827,0.083526729
Angry,0.001570153,0.291150041,0.627379992,0.591462077,0.199419098,0.099023977,0.348853982,0.022876215
Angry,0.058945004,0.114139678,0.649099438,0.656843309,0.167656483,0.099091612,0.303739735,0.023210703
Sober,0.768284912,0.118048892,0.070829589,0.590389158,0.107540312,0.029016896,0.170662992,0.026340243
Sober,0.619860861,0.102465718,0.307226319,0.625438512,0.210693486,0.068259141,0.265355524,0.015726926
Sober,0.683242391,0.114423675,0.085043408,0.617095899,0.293023349,0.027010507,0.211447788,0.027293045
Cheerful Instrumental,0.555547328,0.232768474,0.509762289,0.506247757,0.05489261,0.218226946,0.256524291,0.067828536
Sober,0.609786299,0.12539032,0.412979572,0.615365774,0.134636652,0.044674534,0.202738398,0.044554171
Angry,0.000199306,0.235818571,0.266268675,0.877979555,0.083502548,0.069733251,0.299042573,0.037156334
Sober,0.531031627,0.120203559,0.4036539,0.65069274,0.155006843,0.062738591,0.297538091,0.026959865
Cheerful Instrumental,0.513114862,0.179176187,0.485678674,0.526917664,0.382805703,0.057732751,0.199931409,0.035173682
Sober,0.470593725,0.152418157,0.200613659,0.778799569,0.161272778,0.053389996,0.257834019,0.114881944
Cheerful Instrumental,0.534935667,0.191125219,0.521485086,0.539262155,0.05129173,0.030861915,0.332461052,0.021235963
Sober,0.65987401,0.232875165,0.231985631,0.638502005,0.092745708,0.023878664,0.197355737,0.02668448
Sober,0.669985249,0.270305926,0.313073424,0.371222476,0.238741419,0.375648887,0.155118506,0.141640654
Cheerful Vocals,0.616509515,0.320273489,0.257962308,0.023789967,0.407532847,0.407929442,0.273506878,0.20720746
Cheerful Instrumental,0.484697114,0.153564668,0.454829598,0.612571844,0.300738678,0.070089891,0.243083995,0.070186888
Cheerful Instrumental,0.577418145,0.349138339,0.245028117,0.558092437,0.068107244,0.03981288,0.227686509,0.339293311
Cheerful Instrumental,0.55537493,0.220368208,0.348846813,0.555681086,0.059452304,0.024363439,0.20669879,0.407023868
Cheerful Instrumental,0.583132801,0.245476724,0.385320468,0.441773599,0.056162883,0.018597193,0.198366077,0.461749188
Sober,0.629750863,0.204320024,0.268773506,0.605020823,0.050612127,0.023593855,0.304236246,0.166432671
Cheerful Instrumental,0.53931234,0.208826444,0.295646359,0.501348997,0.052765527,0.020299786,0.351690182,0.447094916
Sober,0.639084179,0.204217803,0.24129416,0.599867936,0.057349345,0.030157374,0.335689094,0.122133151
Cheerful Instrumental,0.538565648,0.302631485,0.185837165,0.51475555,0.067833615,0.01894208,0.373187729,0.417879428
Cheerful Instrumental,0.518414548,0.165924631,0.4081306,0.453177308,0.04715815,0.030163173,0.30576172,0.484923888
Sober,0.631045546,0.182175801,0.220069547,0.592198838,0.066806911,0.019950174,0.217323219,0.342597245
Cheerful Instrumental,0.530607168,0.081016629,0.494118373,0.458356375,0.065389885,0.036287703,0.387903844,0.318726811
Cheerful Instrumental,0.593733186,0.178973978,0.345167128,0.571930203,0.075126579,0.021979625,0.232042336,0.330505618
Sober,0.63247045,0.292900319,0.250587197,0.580974792,0.063975925,0.02322492,0.321645649,0.076004222
Exciting,0.040798191,0.374795935,0.505616439,0.527671834,0.067155477,0.047865877,0.328060844,0.457551144
Angry,0.00403438,0.485805518,0.482604211,0.606095986,0.111968094,0.045066221,0.350925759,0.161247785
Sober,0.660093199,0.206537852,0.095370616,0.609769788,0.079713548,0.026851845,0.187341273,0.313898569
Sober,0.652916207,0.265823824,0.096177109,0.625303766,0.072626515,0.024879489,0.209960865,0.229795825
Sober,0.589438844,0.332918035,0.11913163,0.569987745,0.066241246,0.057886946,0.285145537,0.337049371
Sober,0.624441697,0.249996946,0.13906976,0.530225016,0.069867074,0.173846819,0.438235302,0.141211987
Sober,0.651444432,0.28805396,0.127967706,0.622902756,0.074611113,0.041374885,0.12592848,0.25519563
Sober,0.603876099,0.166594686,0.048619972,0.564218813,0.071179159,0.036951061,0.490994677,0.198407336
Sober,0.661742468,0.298074006,0.098723911,0.626256983,0.077273578,0.030952995,0.091799517,0.236533565
Sober,0.639719793,0.282921055,0.112268643,0.614112333,0.071640374,0.035240403,0.251227993,0.22690598
Sober,0.668264092,0.255256746,0.171698124,0.626223774,0.073360004,0.078542445,0.197027291,0.127515792
Sober,0.627797168,0.30829252,0.194212722,0.599073554,0.071973448,0.071605758,0.214660911,0.240482566
Sober,0.627085433,0.203248653,0.089479696,0.568233698,0.07115891,0.057513515,0.473009261,0.049482694
Sober,0.708391894,0.199198722,0.156575809,0.61002012,0.083064591,0.049452648,0.22440836,0.046431242
Sober,0.618002285,0.354801789,0.132133124,0.585033899,0.070066253,0.04239866,0.223096599,0.275655623
Sober,0.700505254,0.265653068,0.114547289,0.618949841,0.079503016,0.062697569,0.154205815,0.092030981
Cheerful Vocals,0.64123659,0.366831569,0.032022337,0.064241257,0.074259052,0.534030661,0.336436268,0.212615497
Cheerful Instrumental,0.575850632,0.270516598,0.143980534,0.378759532,0.065352935,0.252410155,0.499439607,0.337054637
Exciting,0.14183806,0.495692335,0.348759473,0.557269388,0.076891049,0.022493848,0.240879298,0.487388644
Exciting,0.13824593,0.368896085,0.061831025,0.746431412,0.082524802,0.024950819,0.394332714,0.347691871
Exciting,0.246024582,0.477549374,0.18648636,0.601846082,0.094735102,0.027672382,0.429353365,0.34689742
Cheerful Instrumental,0.509654742,0.391370909,0.211115207,0.513014038,0.054586781,0.020590557,0.170373141,0.496887439
Cheerful Instrumental,0.422590624,0.32444558,0.416885419,0.553170567,0.207926973,0.019089795,0.322184176,0.29826232
Sober,0.592234375,0.512177155,0.083982112,0.512672719,0.081227983,0.026262188,0.231457411,0.237036863
Cheerful Instrumental,0.472847122,0.424734298,0.199979927,0.483280344,0.058525618,0.020139132,0.240545871,0.510657777
Exciting,0.081877353,0.467523663,0.275353194,0.618645494,0.077063223,0.028545848,0.213128761,0.513807961
Exciting,0.284337558,0.392184378,0.419430392,0.567353534,0.096302293,0.022779218,0.31649784,0.396948074
Exciting,0.300067055,0.529189256,0.262280712,0.560668979,0.05555545,0.039810464,0.296856781,0.392405898
Sober,0.632481183,0.442847986,0.103967101,0.464686612,0.082793158,0.02975281,0.409796398,0.037912858
Cheerful Instrumental,0.415121803,0.408906,0.249414743,0.493504549,0.047347589,0.015312865,0.267727625,0.529680053
Angry,0.264579199,0.136100838,0.49430119,0.716146303,0.065044981,0.038444947,0.367543209,0.116096261
Angry,0.205873956,0.052389314,0.665122434,0.461922801,0.21006031,0.045410204,0.470623649,0.177303998
Happy,0.001108218,0.157845087,0.766875809,0.06509198,0.224295111,0.07106928,0.568673821,0.063239016
Happy,0.000466147,0.228082321,0.774089161,7.06E-05,0.30315929,0.080302942,0.473676227,0.161371985
Cheerful Instrumental,0.367662806,0.375958699,0.251906571,0.46987547,0.301815117,0.435368647,0.34601133,0.197172959
Exciting,0.283815136,0.403461747,0.297841149,0.439123365,0.060581788,0.246201742,0.413082599,0.490108379
Cheerful Vocals,0.523288928,0.416646678,0.265576156,0.225603677,0.089436962,0.374692607,0.42945166,0.313567028
Cheerful Vocals,0.445896671,0.503772986,0.368936999,0.20328215,0.104188547,0.31554402,0.227260878,0.455938599
Sober,0.703606057,0.164959404,0.014959868,0.663707419,0.116309994,0.025339934,0.14896581,0.025192003
Sober,0.739476291,0.240310207,0.042990562,0.588544939,0.068956712,0.030064792,0.198770565,0.044986989
Sober,0.709964245,0.359390216,0.048262877,0.502354564,0.08184942,0.038743358,0.311666884,0.082239949
Cheerful Vocals,0.897826883,0.264212135,0.018837945,0.102903901,0.089179378,0.036249731,0.308544733,0.093208896
Happy,0.451825566,0.274181962,0.688123713,0.153860711,0.046557778,0.028178955,0.408992405,0.230768454
Cheerful Instrumental,0.435090148,0.18760867,0.473056189,0.476183822,0.319802069,0.419190412,0.20226395,0.077856856
Cheerful Instrumental,0.443757561,0.375615729,0.417849644,0.253095691,0.115346127,0.11689247,0.328829859,0.536878611
Cheerful Instrumental,0.424473035,0.305386098,0.551776247,0.505375922,0.135597756,0.032186124,0.283814487,0.258315241
Angry,0.035372732,0.237756331,0.650216735,0.613514448,0.150301073,0.091852866,0.304988578,0.137816986
Sober,0.61623823,0.294677192,0.236265374,0.601061578,0.065130977,0.016506679,0.236965659,0.235907208
Sober,0.658413859,0.301452826,0.08826328,0.606565854,0.079799719,0.019307532,0.201948481,0.228868692
Cheerful Instrumental,0.475013392,0.252131571,0.27700294,0.500740696,0.057615563,0.090997584,0.37191132,0.483116891
Sober,0.714254905,0.246888052,0.247817298,0.518679789,0.085470878,0.024246719,0.268899242,0.13507075
Cheerful Vocals,0.860155309,0.299994834,0.256639675,0.050395024,0.084260746,0.026091903,0.294451079,0.085148479
Sober,0.506159031,0.193178729,0.4072719,0.692989514,0.080978891,0.024925031,0.222499809,0.060787687
Cheerful Instrumental,0.474028934,0.141929959,0.523948452,0.54945706,0.090897675,0.02546002,0.374688231,0.171538756
Angry,0.124361304,0.154514114,0.517059944,0.728489529,0.086217891,0.024496653,0.278146126,0.277871907
Cheerful Instrumental,0.508382149,0.297977863,0.273097854,0.47393245,0.043967346,0.240581974,0.377270012,0.38912325
Cheerful Vocals,0.762255775,0.338674773,0.193095867,0.141282324,0.088099979,0.111526717,0.211017589,0.426955015
Cheerful Vocals,0.52405837,0.484950878,0.313062409,0.011818993,0.144796349,0.074003182,0.363584054,0.483116851
Sober,0.72942967,0.291301917,0.197287655,0.470128698,0.205567391,0.076335153,0.186195152,0.200944009
Cheerful Vocals,0.810524449,0.3604708,0.26360992,0.09450208,0.067097379,0.254129722,0.238752568,0.092754109
Cheerful Vocals,0.75914656,0.306792715,0.369899911,0.007101822,0.116511696,0.140171649,0.294466626,0.269749309
Cheerful Instrumental,0.476527838,0.214654961,0.410208152,0.378834059,0.18572473,0.383402855,0.405978762,0.262198999
Cheerful Instrumental,0.649693602,0.28599235,0.318554955,0.399249316,0.074265814,0.035730893,0.37115913,0.301128071
Cheerful Instrumental,0.508998256,0.334419146,0.286156326,0.433178121,0.127117779,0.288904448,0.31719767,0.399145099
Cheerful Instrumental,0.508360991,0.220095305,0.30361037,0.520926711,0.234325167,0.262385351,0.338505055,0.302064954
Cheerful Vocals,0.644299269,0.171012697,0.48438796,0.033152823,0.096213587,0.30708786,0.459738434,0.070589433
Cheerful Instrumental,0.482659701,0.05997223,0.476127681,0.465435094,0.165266239,0.368813272,0.395583533,0.017118923
Cheerful Instrumental,0.585630079,0.13166288,0.43675479,0.547023892,0.086098297,0.129720678,0.34435559,0.083013667
Cheerful Instrumental,0.554737519,0.180918637,0.402760442,0.512626331,0.077203567,0.374348103,0.28428639,0.087277479
Cheerful Instrumental,0.607040593,0.166557043,0.397426017,0.561017987,0.105820882,0.286219611,0.145809183,0.129196776
Cheerful Instrumental,0.510877755,0.192370368,0.347758073,0.542623371,0.411085927,0.025443381,0.259343501,0.222988128
Sober,0.609176113,0.145968729,0.313084851,0.589409861,0.241787168,0.06995204,0.277057625,0.148513418
Sober,0.611206492,0.293496176,0.309963466,0.439418064,0.071495989,0.377545821,0.32095856,0.021309924
Sober,0.630833708,0.347298268,0.147354388,0.484702445,0.084294551,0.27010524,0.309404406,0.221335653
Sober,0.520877869,0.29373024,0.385551546,0.6088502,0.100030132,0.181065845,0.272043917,0.079129454
Sober,0.632726454,0.372345957,0.213344756,0.388519405,0.058087636,0.326896087,0.304010618,0.248786513
Cheerful Vocals,0.803159521,0.378275452,0.111669125,0.023759679,0.2065764,0.127426012,0.229996327,0.294954984
Cheerful Vocals,0.692525794,0.40312447,0.269980041,0.16536741,0.162769398,0.2697208,0.305820232,0.254742778
Cheerful Instrumental,0.612863521,0.378734125,0.157161806,0.399468961,0.066768581,0.232584169,0.270656012,0.406048478
Cheerful Instrumental,0.421347752,0.193533414,0.50131108,0.651946151,0.078809796,0.034676291,0.31024719,0.070693419
Cheerful Vocals,0.564622738,0.206783895,0.341608349,0.025709239,0.094670038,0.076529803,0.419204146,0.574920005
Cheerful Vocals,0.494640937,0.307422886,0.28910399,3.34E-05,0.042482337,0.114506501,0.445048207,0.603536246
Cheerful Vocals,0.441394928,0.309365209,0.293109725,4.64E-05,0.042385683,0.078327085,0.444577126,0.646505895
Cheerful Vocals,0.537645655,0.332760478,0.305313254,5.21E-05,0.079775563,0.261429882,0.46251707,0.467289701
Cheerful Vocals,0.625589078,0.197030321,0.424276455,1.29E-06,0.263051864,0.04978169,0.172797887,0.536910829
Cheerful Vocals,0.543642973,0.374025921,0.411597188,0.00114472,0.22552225,0.330400266,0.312188711,0.371021509
Cheerful Vocals,0.645259378,0.327451475,0.368710083,0.008584044,0.078508791,0.143827609,0.243924594,0.504029599
Happy,0.335169561,0.535006671,0.400898562,0.015977407,0.116110864,0.051820652,0.584483486,0.287517364
Cheerful Vocals,0.626865053,0.270477818,0.421918744,0.099377243,0.082050954,0.319273872,0.172108006,0.455742649
Cheerful Vocals,0.651213249,0.289767296,0.444658217,0.196117318,0.076724346,0.192241652,0.170007767,0.428983878
Cheerful Vocals,0.565238781,0.311528416,0.269134851,0.001068775,0.075875092,0.41743534,0.227834886,0.528301456
Cheerful Vocals,0.74287456,0.219403383,0.456345356,0.003775525,0.085549451,0.15677465,0.175079604,0.359422228
Cheerful Instrumental,0.50021852,0.25717352,0.168682691,0.465682315,0.08464362,0.293961976,0.416706923,0.413650212
